Time: 2021-06-09T13:36:59.420Z , Type: MidPrice , Price: 1002.0
Time: 2021-06-09T13:36:59.620Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 100.0
Time: 2021-06-09T13:37:00.415Z , Type: RFQ , BuyOrSell: sell , Quantity: 2.0 , Price Response: 1002.0
Time: 2021-06-09T13:37:00.652Z , Type: MidPrice , Price: 1003.0
Time: 2021-06-09T13:37:00.654Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 100.0
Time: 2021-06-09T13:37:00.655Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 200.0
Time: 2021-06-09T13:37:00.658Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 300.0
Time: 2021-06-09T13:37:00.659Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 400.0
Time: 2021-06-09T13:37:00.660Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 500.0
Time: 2021-06-09T13:37:00.662Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 600.0
Time: 2021-06-09T13:37:00.662Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 700.0
Time: 2021-06-09T13:37:00.663Z , Type: Pricing , BuyOrSell: sell , Price: 1010.0 , Quantity: 800.0
Time: 2021-06-09T13:37:00.664Z , Type: Pricing , BuyOrSell: sell , Price: 1011.0 , Quantity: 900.0
Time: 2021-06-09T13:37:00.665Z , Type: Pricing , BuyOrSell: sell , Price: 1012.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:00.666Z , Type: Pricing , BuyOrSell: buy , Price: 1003.0 , Quantity: 100.0
Time: 2021-06-09T13:37:00.667Z , Type: Pricing , BuyOrSell: buy , Price: 1002.0 , Quantity: 200.0
Time: 2021-06-09T13:37:00.668Z , Type: Pricing , BuyOrSell: buy , Price: 1001.0 , Quantity: 300.0
Time: 2021-06-09T13:37:00.669Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 400.0
Time: 2021-06-09T13:37:00.669Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 500.0
Time: 2021-06-09T13:37:00.670Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 600.0
Time: 2021-06-09T13:37:00.671Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 700.0
Time: 2021-06-09T13:37:00.672Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 800.0
Time: 2021-06-09T13:37:00.673Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 900.0
Time: 2021-06-09T13:37:00.674Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:01.678Z , Type: MidPrice , Price: 1001.0
Time: 2021-06-09T13:37:01.679Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 100.0
Time: 2021-06-09T13:37:01.680Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 200.0
Time: 2021-06-09T13:37:01.680Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 300.0
Time: 2021-06-09T13:37:01.681Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 400.0
Time: 2021-06-09T13:37:01.682Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 500.0
Time: 2021-06-09T13:37:01.683Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 600.0
Time: 2021-06-09T13:37:01.684Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 700.0
Time: 2021-06-09T13:37:01.685Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 800.0
Time: 2021-06-09T13:37:01.687Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 900.0
Time: 2021-06-09T13:37:01.688Z , Type: Pricing , BuyOrSell: sell , Price: 1010.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:01.688Z , Type: Pricing , BuyOrSell: buy , Price: 1001.0 , Quantity: 100.0
Time: 2021-06-09T13:37:01.689Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 200.0
Time: 2021-06-09T13:37:01.690Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 300.0
Time: 2021-06-09T13:37:01.692Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 400.0
Time: 2021-06-09T13:37:01.693Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 500.0
Time: 2021-06-09T13:37:01.694Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 600.0
Time: 2021-06-09T13:37:01.695Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 700.0
Time: 2021-06-09T13:37:01.696Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 800.0
Time: 2021-06-09T13:37:01.697Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 900.0
Time: 2021-06-09T13:37:01.698Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:02.711Z , Type: MidPrice , Price: 997.0
Time: 2021-06-09T13:37:02.712Z , Type: Pricing , BuyOrSell: sell , Price: 997.0 , Quantity: 100.0
Time: 2021-06-09T13:37:02.714Z , Type: Pricing , BuyOrSell: sell , Price: 998.0 , Quantity: 200.0
Time: 2021-06-09T13:37:02.715Z , Type: Pricing , BuyOrSell: sell , Price: 999.0 , Quantity: 300.0
Time: 2021-06-09T13:37:02.715Z , Type: Pricing , BuyOrSell: sell , Price: 1000.0 , Quantity: 400.0
Time: 2021-06-09T13:37:02.717Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 500.0
Time: 2021-06-09T13:37:02.718Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 600.0
Time: 2021-06-09T13:37:02.719Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 700.0
Time: 2021-06-09T13:37:02.720Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 800.0
Time: 2021-06-09T13:37:02.721Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 900.0
Time: 2021-06-09T13:37:02.722Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:02.723Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 100.0
Time: 2021-06-09T13:37:02.725Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 200.0
Time: 2021-06-09T13:37:02.726Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 300.0
Time: 2021-06-09T13:37:02.727Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 400.0
Time: 2021-06-09T13:37:02.728Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 500.0
Time: 2021-06-09T13:37:02.729Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 600.0
Time: 2021-06-09T13:37:02.729Z , Type: Pricing , BuyOrSell: buy , Price: 991.0 , Quantity: 700.0
Time: 2021-06-09T13:37:02.730Z , Type: Pricing , BuyOrSell: buy , Price: 990.0 , Quantity: 800.0
Time: 2021-06-09T13:37:02.731Z , Type: Pricing , BuyOrSell: buy , Price: 989.0 , Quantity: 900.0
Time: 2021-06-09T13:37:02.732Z , Type: Pricing , BuyOrSell: buy , Price: 988.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:03.738Z , Type: MidPrice , Price: 994.0
Time: 2021-06-09T13:37:03.738Z , Type: Pricing , BuyOrSell: sell , Price: 994.0 , Quantity: 100.0
Time: 2021-06-09T13:37:03.740Z , Type: Pricing , BuyOrSell: sell , Price: 995.0 , Quantity: 200.0
Time: 2021-06-09T13:37:03.742Z , Type: Pricing , BuyOrSell: sell , Price: 996.0 , Quantity: 300.0
Time: 2021-06-09T13:37:03.743Z , Type: Pricing , BuyOrSell: sell , Price: 997.0 , Quantity: 400.0
Time: 2021-06-09T13:37:03.743Z , Type: Pricing , BuyOrSell: sell , Price: 998.0 , Quantity: 500.0
Time: 2021-06-09T13:37:03.745Z , Type: Pricing , BuyOrSell: sell , Price: 999.0 , Quantity: 600.0
Time: 2021-06-09T13:37:03.746Z , Type: Pricing , BuyOrSell: sell , Price: 1000.0 , Quantity: 700.0
Time: 2021-06-09T13:37:03.747Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 800.0
Time: 2021-06-09T13:37:03.748Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 900.0
Time: 2021-06-09T13:37:03.749Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:03.750Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 100.0
Time: 2021-06-09T13:37:03.750Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 200.0
Time: 2021-06-09T13:37:03.751Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 300.0
Time: 2021-06-09T13:37:03.753Z , Type: Pricing , BuyOrSell: buy , Price: 991.0 , Quantity: 400.0
Time: 2021-06-09T13:37:03.755Z , Type: Pricing , BuyOrSell: buy , Price: 990.0 , Quantity: 500.0
Time: 2021-06-09T13:37:03.756Z , Type: Pricing , BuyOrSell: buy , Price: 989.0 , Quantity: 600.0
Time: 2021-06-09T13:37:03.757Z , Type: Pricing , BuyOrSell: buy , Price: 988.0 , Quantity: 700.0
Time: 2021-06-09T13:37:03.758Z , Type: Pricing , BuyOrSell: buy , Price: 987.0 , Quantity: 800.0
Time: 2021-06-09T13:37:03.759Z , Type: Pricing , BuyOrSell: buy , Price: 986.0 , Quantity: 900.0
Time: 2021-06-09T13:37:03.760Z , Type: Pricing , BuyOrSell: buy , Price: 985.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:04.764Z , Type: MidPrice , Price: 994.0
Time: 2021-06-09T13:37:04.765Z , Type: Pricing , BuyOrSell: sell , Price: 994.0 , Quantity: 100.0
Time: 2021-06-09T13:37:04.765Z , Type: Pricing , BuyOrSell: sell , Price: 995.0 , Quantity: 200.0
Time: 2021-06-09T13:37:04.767Z , Type: Pricing , BuyOrSell: sell , Price: 996.0 , Quantity: 300.0
Time: 2021-06-09T13:37:04.768Z , Type: Pricing , BuyOrSell: sell , Price: 997.0 , Quantity: 400.0
Time: 2021-06-09T13:37:04.769Z , Type: Pricing , BuyOrSell: sell , Price: 998.0 , Quantity: 500.0
Time: 2021-06-09T13:37:04.770Z , Type: Pricing , BuyOrSell: sell , Price: 999.0 , Quantity: 600.0
Time: 2021-06-09T13:37:04.770Z , Type: Pricing , BuyOrSell: sell , Price: 1000.0 , Quantity: 700.0
Time: 2021-06-09T13:37:04.772Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 800.0
Time: 2021-06-09T13:37:04.773Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 900.0
Time: 2021-06-09T13:37:04.774Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:04.775Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 100.0
Time: 2021-06-09T13:37:04.787Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 200.0
Time: 2021-06-09T13:37:04.788Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 300.0
Time: 2021-06-09T13:37:04.789Z , Type: Pricing , BuyOrSell: buy , Price: 991.0 , Quantity: 400.0
Time: 2021-06-09T13:37:04.790Z , Type: Pricing , BuyOrSell: buy , Price: 990.0 , Quantity: 500.0
Time: 2021-06-09T13:37:04.790Z , Type: Pricing , BuyOrSell: buy , Price: 989.0 , Quantity: 600.0
Time: 2021-06-09T13:37:04.792Z , Type: Pricing , BuyOrSell: buy , Price: 988.0 , Quantity: 700.0
Time: 2021-06-09T13:37:04.793Z , Type: Pricing , BuyOrSell: buy , Price: 987.0 , Quantity: 800.0
Time: 2021-06-09T13:37:04.794Z , Type: Pricing , BuyOrSell: buy , Price: 986.0 , Quantity: 900.0
Time: 2021-06-09T13:37:04.795Z , Type: Pricing , BuyOrSell: buy , Price: 985.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:05.808Z , Type: MidPrice , Price: 993.0
Time: 2021-06-09T13:37:05.810Z , Type: Pricing , BuyOrSell: sell , Price: 993.0 , Quantity: 100.0
Time: 2021-06-09T13:37:05.812Z , Type: Pricing , BuyOrSell: sell , Price: 994.0 , Quantity: 200.0
Time: 2021-06-09T13:37:05.813Z , Type: Pricing , BuyOrSell: sell , Price: 995.0 , Quantity: 300.0
Time: 2021-06-09T13:37:05.815Z , Type: Pricing , BuyOrSell: sell , Price: 996.0 , Quantity: 400.0
Time: 2021-06-09T13:37:05.817Z , Type: Pricing , BuyOrSell: sell , Price: 997.0 , Quantity: 500.0
Time: 2021-06-09T13:37:05.818Z , Type: Pricing , BuyOrSell: sell , Price: 998.0 , Quantity: 600.0
Time: 2021-06-09T13:37:05.820Z , Type: Pricing , BuyOrSell: sell , Price: 999.0 , Quantity: 700.0
Time: 2021-06-09T13:37:05.822Z , Type: Pricing , BuyOrSell: sell , Price: 1000.0 , Quantity: 800.0
Time: 2021-06-09T13:37:05.823Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 900.0
Time: 2021-06-09T13:37:05.825Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:05.826Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 100.0
Time: 2021-06-09T13:37:05.826Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 200.0
Time: 2021-06-09T13:37:05.827Z , Type: Pricing , BuyOrSell: buy , Price: 991.0 , Quantity: 300.0
Time: 2021-06-09T13:37:05.828Z , Type: Pricing , BuyOrSell: buy , Price: 990.0 , Quantity: 400.0
Time: 2021-06-09T13:37:05.829Z , Type: Pricing , BuyOrSell: buy , Price: 989.0 , Quantity: 500.0
Time: 2021-06-09T13:37:05.831Z , Type: Pricing , BuyOrSell: buy , Price: 988.0 , Quantity: 600.0
Time: 2021-06-09T13:37:05.832Z , Type: Pricing , BuyOrSell: buy , Price: 987.0 , Quantity: 700.0
Time: 2021-06-09T13:37:05.834Z , Type: Pricing , BuyOrSell: buy , Price: 986.0 , Quantity: 800.0
Time: 2021-06-09T13:37:05.835Z , Type: Pricing , BuyOrSell: buy , Price: 985.0 , Quantity: 900.0
Time: 2021-06-09T13:37:05.836Z , Type: Pricing , BuyOrSell: buy , Price: 984.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:06.845Z , Type: MidPrice , Price: 994.0
Time: 2021-06-09T13:37:06.846Z , Type: Pricing , BuyOrSell: sell , Price: 994.0 , Quantity: 100.0
Time: 2021-06-09T13:37:06.847Z , Type: Pricing , BuyOrSell: sell , Price: 995.0 , Quantity: 200.0
Time: 2021-06-09T13:37:06.847Z , Type: Pricing , BuyOrSell: sell , Price: 996.0 , Quantity: 300.0
Time: 2021-06-09T13:37:06.848Z , Type: Pricing , BuyOrSell: sell , Price: 997.0 , Quantity: 400.0
Time: 2021-06-09T13:37:06.849Z , Type: Pricing , BuyOrSell: sell , Price: 998.0 , Quantity: 500.0
Time: 2021-06-09T13:37:06.850Z , Type: Pricing , BuyOrSell: sell , Price: 999.0 , Quantity: 600.0
Time: 2021-06-09T13:37:06.851Z , Type: Pricing , BuyOrSell: sell , Price: 1000.0 , Quantity: 700.0
Time: 2021-06-09T13:37:06.852Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 800.0
Time: 2021-06-09T13:37:06.853Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 900.0
Time: 2021-06-09T13:37:06.854Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:06.855Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 100.0
Time: 2021-06-09T13:37:06.857Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 200.0
Time: 2021-06-09T13:37:06.858Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 300.0
Time: 2021-06-09T13:37:06.860Z , Type: Pricing , BuyOrSell: buy , Price: 991.0 , Quantity: 400.0
Time: 2021-06-09T13:37:06.861Z , Type: Pricing , BuyOrSell: buy , Price: 990.0 , Quantity: 500.0
Time: 2021-06-09T13:37:06.862Z , Type: Pricing , BuyOrSell: buy , Price: 989.0 , Quantity: 600.0
Time: 2021-06-09T13:37:06.863Z , Type: Pricing , BuyOrSell: buy , Price: 988.0 , Quantity: 700.0
Time: 2021-06-09T13:37:06.864Z , Type: Pricing , BuyOrSell: buy , Price: 987.0 , Quantity: 800.0
Time: 2021-06-09T13:37:06.865Z , Type: Pricing , BuyOrSell: buy , Price: 986.0 , Quantity: 900.0
Time: 2021-06-09T13:37:06.866Z , Type: Pricing , BuyOrSell: buy , Price: 985.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:07.867Z , Type: MidPrice , Price: 994.0
Time: 2021-06-09T13:37:07.869Z , Type: Pricing , BuyOrSell: sell , Price: 994.0 , Quantity: 100.0
Time: 2021-06-09T13:37:07.869Z , Type: Pricing , BuyOrSell: sell , Price: 995.0 , Quantity: 200.0
Time: 2021-06-09T13:37:07.870Z , Type: Pricing , BuyOrSell: sell , Price: 996.0 , Quantity: 300.0
Time: 2021-06-09T13:37:07.871Z , Type: Pricing , BuyOrSell: sell , Price: 997.0 , Quantity: 400.0
Time: 2021-06-09T13:37:07.872Z , Type: Pricing , BuyOrSell: sell , Price: 998.0 , Quantity: 500.0
Time: 2021-06-09T13:37:07.873Z , Type: Pricing , BuyOrSell: sell , Price: 999.0 , Quantity: 600.0
Time: 2021-06-09T13:37:07.874Z , Type: Pricing , BuyOrSell: sell , Price: 1000.0 , Quantity: 700.0
Time: 2021-06-09T13:37:07.875Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 800.0
Time: 2021-06-09T13:37:07.876Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 900.0
Time: 2021-06-09T13:37:07.877Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:07.877Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 100.0
Time: 2021-06-09T13:37:07.879Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 200.0
Time: 2021-06-09T13:37:07.880Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 300.0
Time: 2021-06-09T13:37:07.880Z , Type: Pricing , BuyOrSell: buy , Price: 991.0 , Quantity: 400.0
Time: 2021-06-09T13:37:07.881Z , Type: Pricing , BuyOrSell: buy , Price: 990.0 , Quantity: 500.0
Time: 2021-06-09T13:37:07.882Z , Type: Pricing , BuyOrSell: buy , Price: 989.0 , Quantity: 600.0
Time: 2021-06-09T13:37:07.883Z , Type: Pricing , BuyOrSell: buy , Price: 988.0 , Quantity: 700.0
Time: 2021-06-09T13:37:07.884Z , Type: Pricing , BuyOrSell: buy , Price: 987.0 , Quantity: 800.0
Time: 2021-06-09T13:37:07.886Z , Type: Pricing , BuyOrSell: buy , Price: 986.0 , Quantity: 900.0
Time: 2021-06-09T13:37:07.888Z , Type: Pricing , BuyOrSell: buy , Price: 985.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:08.901Z , Type: MidPrice , Price: 993.0
Time: 2021-06-09T13:37:08.903Z , Type: Pricing , BuyOrSell: sell , Price: 993.0 , Quantity: 100.0
Time: 2021-06-09T13:37:08.904Z , Type: Pricing , BuyOrSell: sell , Price: 994.0 , Quantity: 200.0
Time: 2021-06-09T13:37:08.905Z , Type: Pricing , BuyOrSell: sell , Price: 995.0 , Quantity: 300.0
Time: 2021-06-09T13:37:08.906Z , Type: Pricing , BuyOrSell: sell , Price: 996.0 , Quantity: 400.0
Time: 2021-06-09T13:37:08.908Z , Type: Pricing , BuyOrSell: sell , Price: 997.0 , Quantity: 500.0
Time: 2021-06-09T13:37:08.909Z , Type: Pricing , BuyOrSell: sell , Price: 998.0 , Quantity: 600.0
Time: 2021-06-09T13:37:08.910Z , Type: Pricing , BuyOrSell: sell , Price: 999.0 , Quantity: 700.0
Time: 2021-06-09T13:37:08.912Z , Type: Pricing , BuyOrSell: sell , Price: 1000.0 , Quantity: 800.0
Time: 2021-06-09T13:37:08.913Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 900.0
Time: 2021-06-09T13:37:08.915Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:08.916Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 100.0
Time: 2021-06-09T13:37:08.916Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 200.0
Time: 2021-06-09T13:37:08.917Z , Type: Pricing , BuyOrSell: buy , Price: 991.0 , Quantity: 300.0
Time: 2021-06-09T13:37:08.918Z , Type: Pricing , BuyOrSell: buy , Price: 990.0 , Quantity: 400.0
Time: 2021-06-09T13:37:08.919Z , Type: Pricing , BuyOrSell: buy , Price: 989.0 , Quantity: 500.0
Time: 2021-06-09T13:37:08.920Z , Type: Pricing , BuyOrSell: buy , Price: 988.0 , Quantity: 600.0
Time: 2021-06-09T13:37:08.921Z , Type: Pricing , BuyOrSell: buy , Price: 987.0 , Quantity: 700.0
Time: 2021-06-09T13:37:08.922Z , Type: Pricing , BuyOrSell: buy , Price: 986.0 , Quantity: 800.0
Time: 2021-06-09T13:37:08.923Z , Type: Pricing , BuyOrSell: buy , Price: 985.0 , Quantity: 900.0
Time: 2021-06-09T13:37:08.924Z , Type: Pricing , BuyOrSell: buy , Price: 984.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:09.429Z , Type: RFQ , BuyOrSell: buy , Quantity: 384.0 , Price Response: 990.0
Time: 2021-06-09T13:37:09.430Z , Type: RFQ , BuyOrSell: sell , Quantity: 147.0 , Price Response: 994.0
Time: 2021-06-09T13:37:09.936Z , Type: MidPrice , Price: 995.0
Time: 2021-06-09T13:37:09.937Z , Type: Pricing , BuyOrSell: sell , Price: 995.0 , Quantity: 100.0
Time: 2021-06-09T13:37:09.938Z , Type: Pricing , BuyOrSell: sell , Price: 996.0 , Quantity: 200.0
Time: 2021-06-09T13:37:09.939Z , Type: Pricing , BuyOrSell: sell , Price: 997.0 , Quantity: 300.0
Time: 2021-06-09T13:37:09.940Z , Type: Pricing , BuyOrSell: sell , Price: 998.0 , Quantity: 400.0
Time: 2021-06-09T13:37:09.941Z , Type: Pricing , BuyOrSell: sell , Price: 999.0 , Quantity: 500.0
Time: 2021-06-09T13:37:09.943Z , Type: Pricing , BuyOrSell: sell , Price: 1000.0 , Quantity: 600.0
Time: 2021-06-09T13:37:09.943Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 700.0
Time: 2021-06-09T13:37:09.956Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 800.0
Time: 2021-06-09T13:37:09.958Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 900.0
Time: 2021-06-09T13:37:09.959Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:09.960Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 100.0
Time: 2021-06-09T13:37:09.961Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 200.0
Time: 2021-06-09T13:37:09.962Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 300.0
Time: 2021-06-09T13:37:09.963Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 400.0
Time: 2021-06-09T13:37:09.964Z , Type: Pricing , BuyOrSell: buy , Price: 991.0 , Quantity: 500.0
Time: 2021-06-09T13:37:09.964Z , Type: Pricing , BuyOrSell: buy , Price: 990.0 , Quantity: 600.0
Time: 2021-06-09T13:37:09.965Z , Type: Pricing , BuyOrSell: buy , Price: 989.0 , Quantity: 700.0
Time: 2021-06-09T13:37:09.966Z , Type: Pricing , BuyOrSell: buy , Price: 988.0 , Quantity: 800.0
Time: 2021-06-09T13:37:09.967Z , Type: Pricing , BuyOrSell: buy , Price: 987.0 , Quantity: 900.0
Time: 2021-06-09T13:37:09.968Z , Type: Pricing , BuyOrSell: buy , Price: 986.0 , Quantity: 1000.0
Time: 2021-06-09T13:37:10.981Z , Type: MidPrice , Price: 994.0
Time: 2021-06-09T13:37:10.982Z , Type: Pricing , BuyOrSell: sell , Price: 994.0 , Quantity: 100.0
Time: 2021-06-09T13:37:10.982Z , Type: Pricing , BuyOrSell: sell , Price: 995.0 , Quantity: 200.0
Time: 2021-06-09T13:37:10.983Z , Type: Pricing , BuyOrSell: sell , Price: 996.0 , Quantity: 300.0
